#LECROYWP735Zi	47716	Histogram
#Segments	1	SegmentSize	1000
#Segment	TrigTime	TimeSinceSegment1
#1	09-Jul-2025 16:40:03	0                 
#Time	Ampl
-5.19e-009	1
-5.18e-009	0
-5.17e-009	0
-5.16e-009	1
-5.15e-009	1
-5.14e-009	2
-5.13e-009	0
-5.12e-009	0
-5.11e-009	2
-5.1e-009	1
-5.09e-009	0
-5.08e-009	0
-5.07e-009	2
-5.06e-009	1
-5.05e-009	0
-5.04e-009	0
-5.03e-009	2
-5.02e-009	0
-5.01e-009	1
-5e-009	0
-4.99e-009	2
-4.98e-009	1
-4.97e-009	1
-4.96e-009	2
-4.95e-009	0
-4.94e-009	1
-4.93e-009	3
-4.92e-009	2
-4.91e-009	4
-4.9e-009	5
-4.89e-009	3
-4.88e-009	4
-4.87e-009	4
-4.86e-009	3
-4.85e-009	5
-4.84e-009	5
-4.83e-009	1
-4.82e-009	3
-4.81e-009	5
-4.8e-009	4
-4.79e-009	4
-4.78e-009	5
-4.77e-009	7
-4.76e-009	4
-4.75e-009	6
-4.74e-009	7
-4.73e-009	5
-4.72e-009	8
-4.71e-009	12
-4.7e-009	12
-4.69e-009	7
-4.68e-009	9
-4.67e-009	7
-4.66e-009	5
-4.65e-009	4
-4.64e-009	8
-4.63e-009	13
-4.62e-009	15
-4.61e-009	11
-4.6e-009	19
-4.59e-009	9
-4.58e-009	11
-4.57e-009	12
-4.56e-009	18
-4.55e-009	8
-4.54e-009	10
-4.53e-009	13
-4.52e-009	15
-4.51e-009	16
-4.5e-009	22
-4.49e-009	18
-4.48e-009	30
-4.47e-009	22
-4.46e-009	21
-4.45e-009	23
-4.44e-009	28
-4.43e-009	38
-4.42e-009	24
-4.41e-009	24
-4.4e-009	23
-4.39e-009	22
-4.38e-009	26
-4.37e-009	34
-4.36e-009	35
-4.35e-009	31
-4.34e-009	40
-4.33e-009	30
-4.32e-009	38
-4.31e-009	41
-4.3e-009	43
-4.29e-009	37
-4.28e-009	54
-4.27e-009	40
-4.26e-009	54
-4.25e-009	45
-4.24e-009	58
-4.23e-009	42
-4.22e-009	46
-4.21e-009	52
-4.2e-009	57
-4.19e-009	76
-4.18e-009	68
-4.17e-009	66
-4.16e-009	68
-4.15e-009	76
-4.14e-009	78
-4.13e-009	80
-4.12e-009	77
-4.11e-009	71
-4.1e-009	92
-4.09e-009	72
-4.08e-009	109
-4.07e-009	92
-4.06e-009	103
-4.05e-009	103
-4.04e-009	117
-4.03e-009	103
-4.02e-009	105
-4.01e-009	112
-4e-009	118
-3.99e-009	112
-3.98e-009	128
-3.97e-009	136
-3.96e-009	125
-3.95e-009	141
-3.94e-009	138
-3.93e-009	162
-3.92e-009	150
-3.91e-009	138
-3.9e-009	160
-3.89e-009	178
-3.88e-009	205
-3.87e-009	166
-3.86e-009	165
-3.85e-009	158
-3.84e-009	176
-3.83e-009	200
-3.82e-009	173
-3.81e-009	186
-3.8e-009	199
-3.79e-009	185
-3.78e-009	224
-3.77e-009	215
-3.76e-009	209
-3.75e-009	224
-3.74e-009	218
-3.73e-009	199
-3.72e-009	239
-3.71e-009	269
-3.7e-009	255
-3.69e-009	282
-3.68e-009	264
-3.67e-009	256
-3.66e-009	244
-3.65e-009	308
-3.64e-009	287
-3.63e-009	275
-3.62e-009	281
-3.61e-009	249
-3.6e-009	292
-3.59e-009	322
-3.58e-009	301
-3.57e-009	338
-3.56e-009	314
-3.55e-009	323
-3.54e-009	327
-3.53e-009	286
-3.52e-009	339
-3.51e-009	381
-3.5e-009	328
-3.49e-009	360
-3.48e-009	371
-3.47e-009	347
-3.46e-009	327
-3.45e-009	371
-3.44e-009	314
-3.43e-009	369
-3.42e-009	341
-3.41e-009	370
-3.4e-009	353
-3.39e-009	353
-3.38e-009	395
-3.37e-009	362
-3.36e-009	364
-3.35e-009	379
-3.34e-009	364
-3.33e-009	347
-3.32e-009	388
-3.31e-009	371
-3.3e-009	391
-3.29e-009	370
-3.28e-009	436
-3.27e-009	382
-3.26e-009	365
-3.25e-009	394
-3.24e-009	385
-3.23e-009	423
-3.22e-009	419
-3.21e-009	415
-3.2e-009	426
-3.19e-009	418
-3.18e-009	421
-3.17e-009	410
-3.16e-009	433
-3.15e-009	374
-3.14e-009	385
-3.13e-009	404
-3.12e-009	364
-3.11e-009	364
-3.1e-009	403
-3.09e-009	421
-3.08e-009	383
-3.07e-009	410
-3.06e-009	425
-3.05e-009	371
-3.04e-009	406
-3.03e-009	390
-3.02e-009	378
-3.01e-009	410
-3e-009	356
-2.99e-009	376
-2.98e-009	346
-2.97e-009	366
-2.96e-009	355
-2.95e-009	345
-2.94e-009	368
-2.93e-009	369
-2.92e-009	357
-2.91e-009	369
-2.9e-009	347
-2.89e-009	361
-2.88e-009	351
-2.87e-009	307
-2.86e-009	339
-2.85e-009	322
-2.84e-009	301
-2.83e-009	323
-2.82e-009	329
-2.81e-009	290
-2.8e-009	302
-2.79e-009	276
-2.78e-009	261
-2.77e-009	265
-2.76e-009	251
-2.75e-009	275
-2.74e-009	253
-2.73e-009	246
-2.72e-009	242
-2.71e-009	251
